userid,jobid,windowid,label,prediction,user_state,job_state,degree,yearsexp
2652,152707,1,1.0,1.0,CA,CA,High School,21.0
2652,262764,1,1.0,1.0,CA,CA,High School,21.0
2652,76483,1,0.0,0.0,CA,TX,High School,21.0
2652,811031,1,0.0,0.0,CA,NY,High School,21.0
11447,79195,1,1.0,1.0,SC,SC,High School,3.0
15553,481387,5,1.0,0.0,NY,GA,None,15.0
15799,504675,2,1.0,1.0,NJ,NJ,High School,16.0
17971,52884,4,1.0,1.0,TN,TN,Bachelor's,7.0
17971,357286,4,1.0,1.0,TN,TN,Bachelor's,7.0
17971,788854,4,1.0,1.0,TN,TN,Bachelor's,7.0
17971,627738,4,1.0,1.0,TN,TN,Bachelor's,7.0
23692,68144,1,1.0,1.0,OK,OK,None,4.0
36042,281276,5,1.0,1.0,AZ,AZ,None,0.0
46517,921337,2,0.0,0.0,FL,LA,High School,0.0
46821,919967,4,1.0,1.0,MI,FL,Associate's,7.0
46821,646117,4,0.0,0.0,MI,TX,Associate's,7.0
53807,244529,2,1.0,1.0,CA,CA,PhD,4.0
57647,545889,2,1.0,1.0,TX,TX,None,10.0
60264,674489,3,1.0,1.0,CA,CA,None,7.0
63975,325888,5,1.0,1.0,DE,PA,Bachelor's,24.0
63975,127795,5,1.0,0.0,DE,MD,Bachelor's,24.0
77120,532076,7,0.0,0.0,AZ,SC,None,1.0
80416,972052,7,1.0,1.0,NJ,NJ,None,12.0
83876,448903,1,1.0,1.0,PA,PA,High School,21.0
91622,749996,4,0.0,0.0,TX,NY,Bachelor's,7.0
94554,544430,2,1.0,1.0,MD,MD,Associate's,13.0
95067,173754,2,0.0,0.0,NY,VA,None,4.0
100615,571230,6,1.0,1.0,IL,IL,None,20.0
101362,874815,5,1.0,1.0,RI,RI,Master's,7.0
101683,708778,5,1.0,1.0,PA,PA,Bachelor's,6.0
101930,1062200,5,0.0,0.0,CT,FL,Associate's,10.0
102753,576010,1,0.0,0.0,IL,CA,None,8.0
108943,499565,5,1.0,1.0,IL,IL,High School,20.0
108943,451265,5,1.0,1.0,IL,IL,High School,20.0
111118,520706,2,1.0,1.0,FL,FL,Bachelor's,6.0
